StateCode,Year,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance,BDFDB,BDPRP,BFFDB,BFPRP,CLPRB,CLPRK,CLPRP,COPRK,EMFDB,ENPRP,GETCB,HYTCB,NCPRB,NGMPB,NGMPK,NGMPP,NUETB,PAPRB,PAPRP,REPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WWPRB,WYTCB,GDP,energyConsumption,Population,energyPrice,totalExpenditure
AK,2015,Alaska,35.0278036,16,3345612,21,4,21,4,17747,15.073,1177,5.717,0,0,186,14621,16298,380887,1.108,343625,0,1007501,176229,23807,3,1429942,614242,0,6865,6865,622,7488,1488,54741,614242,737498,19.06,"5,552.30"
AK,2016,Alaska,33.40561066,14,2247734,27,5,27,5,13942,14.957,932,5.722,0,0,186,15317,17081,369865,1.112,332749,0,1026401,179378,25155,14,1435363,593662,0,7636,7636,412,8048,1563,54247,593662,741456,17,"4,561.40"
AK,2017,Alaska,33.72913017,18,13509662,29,5,29,5,14365,14.978,959,5.723,0,0,186,15143,16655,382940,1.112,344385,0,1033270,180547,23620,20,1454196,601492,0,6501,6501,436,6937,1305,54130,601492,739700,18.97,"5,037.00"
AK,2018,Alaska,34.51458857,44,18236626,15,3,15,3,13752,15.253,902,5.706,0,0,186,15151,16777,375279,1.1,341315,0,997415,174801,24158,28,1410604,604644,0,6910,6910,456,7366,1411,53250,604644,735139,22.2,"5,832.40"
AK,2019,Alaska,34.25944031,32,13734021,0,0,0,0,14867,15.252,975,5.698,0,0,186,14456,15951,364363,1.106,329361,0,968358,169947,22754,40,1370342,605689,0,6418,6418,386,6803,1270,53337,605689,731545,21.37,"5,684.20"
AL,2015,Alabama,119.2008893,164,1864412,1933,356,1933,356,331420,25.122,13193,5.717,0,0,141,91902,92144,182481,1.085,168246,438728,55421,9694,258955,101,1267004,1917138,0,163313,163313,1565,164877,0,191335,1917138,4852347,15.69,"19,989.60"
AL,2016,Alabama,113.9837834,129,1206793,1906,351,1906,351,247632,25.68,9643,5.722,0,0,141,64484,65056,176290,1.07,164815,417334,46417,8112,230734,431,1118407,1922727,0,162166,162166,1606,163772,0,194284,1922727,4863525,14.85,"19,229.40"
AL,2017,Alabama,108.5943783,104,2414699,1585,292,1585,292,326748,25.407,12861,5.723,0,0,141,85103,87057,159686,1.064,150038,446097,39100,6832,258549,1812,1230179,1904206,1137,168195,167058,1712,169907,0,197567,1904206,4874486,15.97,"20,444.30"
AL,2018,Alabama,112.3554714,75,1844186,1652,304,1652,304,370533,25.065,14783,5.706,0,0,141,101447,105013,149607,1.073,139477,412584,33591,5887,279560,3425,1245875,1956413,4462,171215,166753,1680,172895,0,200801,1956413,4887681,16.72,"21,942.50"
AL,2019,Alabama,106.2507516,54,840218,1494,275,1494,275,350506,24.816,14124,5.698,0,0,141,101563,105332,138425,1.064,130069,455865,27687,4859,278142,3628,1250624,1926332,5308,169739,164431,1577,171316,0,203384,1926332,4903185,16.41,"21,295.30"
AR,2015,Arkansas,59.05336455,477,13453887,4429,815,4429,815,1819,19.893,91,5.717,0,0,808,33261,34194,1031466,1.021,1010382,144716,35611,6229,117840,124,1331452,1062359,0,75417,75417,3799,79217,0,112351,1062359,2978048,15.86,"11,171.50"
AR,2016,Arkansas,62.12624984,703,4637664,5377,990,5377,990,974,19.705,49,5.722,0,0,808,32958,34139,839485,1.02,823196,140370,31580,5519,115419,372,1127828,1053706,0,70786,70786,5118,75904,0,112798,1053706,2989918,14.61,"10,292.10"
AR,2017,Arkansas,64.17625679,469,2069460,6760,1244,6760,1244,832,19.472,43,5.723,0,0,808,27117,28367,708482,1.02,694676,132736,30263,5288,116692,442,989005,1057701,5455,77206,71751,4359,81565,0,113885,1057701,3001345,15.76,"11,281.40"
AR,2018,Arkansas,70.78614615,414,79970512,9499,1748,9499,1748,0,0,0,5.706,0,0,808,27392,30317,600455,1.018,589985,132996,28553,5004,126121,2117,888125,1116757,8489,82077,73588,4228,86305,0,115938,1116757,3009733,16.46,"12,446.70"
AR,2019,Arkansas,65.07220242,302,60034678,8589,1581,8589,1581,0,0,0,5.698,0,0,808,36819,39884,534585,1.019,524757,141750,27538,4833,133513,2256,837386,1096477,8833,81001,72168,4040,85041,0,116791,1096477,3017804,16.08,"12,055.30"
AZ,2015,Arizona,94.97878443,65,1724853,12,2,6602,1157,146450,21.522,6805,5.717,6590,1154,345,60906,113693,99,1.04,95,340153,212,37,128954,48229,615867,1495858,0,8001,8001,658,8659,4213,282577,1495858,6829676,21.89,"20,744.70"
AZ,2016,Arizona,90.85562563,54,2053339,57,10,6204,1089,116678,21.516,5423,5.722,6147,1078,345,66173,124372,49,1.037,47,338636,46,8,138522,52854,593930,1524720,0,7481,7481,465,7946,5000,291275,1524720,6941072,20.11,"19,581.10"
AZ,2017,Arizona,90.47614096,46,1714281,0,0,6584,1155,134024,21.543,6221,5.723,6584,1155,345,62942,134856,58,1.041,56,338246,74,13,149493,66318,621896,1531479,0,7541,7541,512,8053,5251,302455,1531479,7044008,21.8,"21,226.60"
AZ,2018,Arizona,94.09550866,48,539053,0,0,6758,1184,140759,21.489,6550,5.706,6758,1184,345,63566,139517,44,1.041,42,325122,57,10,156071,70779,622052,1542208,0,9307,9307,489,9796,4827,313619,1542208,7158024,23.98,"23,684.40"
AZ,2019,Arizona,92.53702529,29,95135122,0,0,3026,531,82222,21.398,3843,5.698,3026,531,345,55251,133794,68,1.032,66,333312,40,7,148194,73262,563836,1556416,0,10949,10949,425,11374,4937,323894,1556416,7278717,23.3,"23,597.10"
CA,2015,California,351.408516,1023,30077512,4057,747,30601,5397,0,0,0,5.717,26544,4650,112878,128681,567365,271086,1.146,236648,193529,1150741,201284,737527,211839,2352883,7525491,0,98852,98852,40708,139561,113967,2357453,7525491,38918045,22.14,"120,160.80"
CA,2016,California,353.3561319,848,59755992,5872,1081,32765,5798,0,0,0,5.722,26893,4717,107912,267194,767360,234094,1.142,205025,197754,1064744,186079,929692,267538,2426284,7647955,0,89236,89236,40332,129568,124715,2427895,7647955,39167117,20.16,"111,274.90"
CA,2017,California,356.5165476,786,30392556,5436,1001,34240,6052,0,0,0,5.723,28804,5051,108637,390292,957430,240221,1.131,212458,187227,992385,173403,1122218,340363,2542051,7766193,0,87833,87833,42714,130548,118138,2541769,7766193,39358497,21.97,"123,241.50"
CA,2018,California,358.5947178,749,28208367,5950,1095,35465,6265,0,0,0,5.706,29515,5170,108445,239714,857451,228906,1.13,202617,190422,916715,160658,1026274,381618,2362317,7865156,0,90644,90644,42714,133358,127674,2643576,7865156,39461588,24.46,"137,353.80"
CA,2019,California,358.1643733,609,158244985,5491,1011,31877,5643,0,0,0,5.698,26386,4632,99329,341549,968843,220789,1.122,196823,168799,890882,156350,1140051,405654,2420522,7790111,0,98358,98358,40974,139332,122311,2739343,7790111,39512223,24.69,"139,266.40"
CO,2015,Colorado,91.30387161,206,1658730,0,0,19861,3479,403605,21.379,18879,5.717,19861,3479,759,15098,91789,1965188,1.164,1688733,0,698737,122221,126586,6270,3194117,1501006,0,13804,13804,1133,14936,69662,312410,1501006,5450623,17.21,"16,387.60"
CO,2016,Colorado,88.42427593,258,1800615,0,0,19461,3413,270920,21.444,12634,5.722,19461,3413,759,17565,114808,1981005,1.175,1685756,0,663969,116038,149600,9509,3065494,1470307,0,14233,14233,1098,15331,86977,318953,1470307,5539215,15.75,"15,097.10"
CO,2017,Colorado,88.77624019,181,1385451,0,0,19828,3477,320001,21.267,15047,5.723,19828,3477,759,17479,118027,2028824,1.189,1706364,0,744780,130138,153379,13973,3246984,1477307,0,14434,14434,1090,15524,85816,329961,1477307,5611885,17.2,"16,604.00"
CO,2018,Colorado,90.06168948,142,29876375,0,0,19735,3457,293149,20.901,14026,5.706,19735,3457,759,16618,121433,2217310,1.2,1847402,0,966448,169374,156998,15336,3633905,1527222,0,14728,14728,1102,15831,88720,342536,1527222,5691287,18.49,"18,715.70"
CO,2019,Colorado,91.72734664,96,10796826,0,0,18725,3287,270466,21.018,12868,5.698,18725,3287,759,16127,130306,2394039,1.205,1986916,0,1096198,192383,167095,16780,3927798,1566652,0,16968,16968,1095,18063,96640,356774,1566652,5758736,17.77,"18,778.40"
CT,2015,Connecticut,36.32904924,33,1340702,715,132,715,132,0,0,0,0,0,0,21,2819,5792,0,0,0,182083,0,0,33234,2952,215318,756746,0,15661,15661,11067,26728,0,242707,756746,3587122,23.3,"13,126.10"
CT,2016,Connecticut,34.09544003,28,962061,1496,275,1496,275,0,0,0,0,0,0,21,2069,6336,0,0,0,173363,0,0,34249,4128,207612,724686,0,14933,14933,11485,26418,118,243287,724686,3578141,21.89,"11,748.90"
CT,2017,Connecticut,33.8574222,40,788599,1379,254,1379,254,0,0,0,0,0,0,21,3060,8284,0,0,0,172570,0,0,32888,5086,205458,728349,0,12683,12683,10543,23225,117,247359,728349,3573297,23.18,"12,562.20"
CT,2018,Connecticut,37.38424068,21,1486681,2296,423,2296,423,0,0,0,0,0,0,21,5056,11668,0,0,0,176496,0,0,37572,6480,214068,756159,0,13893,13893,9715,23608,112,249998,756159,3571520,24.87,"14,207.10"
CT,2019,Connecticut,36.63166173,19,1306178,2359,434,2359,434,0,0,0,0,0,0,21,3811,11485,0,0,0,174730,0,0,37172,7545,211902,735517,0,14328,14328,9000,23328,109,251495,735517,3565287,24.33,"13,572.80"
DE,2015,Delaware,13.9053954,68,1452666,0,0,0,0,0,0,0,0,0,0,430,0,1708,0,0,0,0,0,0,3517,1230,3517,284672,0,1044,1044,765,1809,48,66794,284672,941252,19.74,"3,485.90"
DE,2016,Delaware,14.41948129,38,502817,0,0,0,0,0,0,0,0,0,0,430,0,1612,0,0,0,0,0,0,3105,1133,3105,280937,0,825,825,667,1493,49,63001,280937,948921,18.16,"3,187.00"
DE,2017,Delaware,13.76698515,65,1636426,0,0,0,0,0,0,0,0,0,0,430,0,1830,0,0,0,0,0,0,3269,1354,3269,280044,0,748,748,692,1439,46,60801,280044,956823,19.75,"3,451.20"
DE,2018,Delaware,13.98931001,32,824222,0,0,0,0,0,0,0,0,0,0,430,0,1969,0,0,0,0,0,0,3389,1492,3389,300567,0,739,739,680,1419,47,61735,300567,965479,20.74,"3,896.10"
DE,2019,Delaware,13.58957516,40,1485254,0,0,0,0,0,0,0,0,0,0,430,0,2105,0,0,0,0,0,0,3611,1628,3611,298616,0,789,789,716,1506,47,64262,298616,973764,19.87,"3,788.50"
FL,2015,Florida,237.3833592,45,3527420,645,119,645,119,0,0,0,5.717,0,0,10056,2277,42466,1162,1.521,764,294099,12623,2208,223761,30133,531646,4324701,0,111608,111608,69043,180650,0,852242,4324701,20209042,20.22,"57,720.80"
FL,2016,Florida,238.8326956,72,4068360,558,103,558,103,0,0,0,5.722,0,0,10056,1611,42513,1062,1.484,716,306658,11066,1934,223405,30846,542192,4362567,9939,108866,98926,71468,180333,0,881539,4362567,20613477,18.42,"53,458.40"
FL,2017,Florida,238.4284129,56,1239122,855,157,855,157,0,0,0,5.723,0,0,10056,2011,50264,1048,1.48,708,304840,11005,1923,236674,38197,553568,4345055,9840,109274,99435,76280,185555,0,912966,4345055,20963613,20.05,"58,777.30"
FL,2018,Florida,242.0091133,62,49550089,1818,335,1818,335,0,0,0,5.706,0,0,10056,2117,65529,1123,1.425,788,306461,10493,1839,247001,53356,565077,4441047,11096,110027,98931,69626,179653,0,943463,4441047,21244317,21.41,"64,955.20"
FL,2019,Florida,233.5527795,53,52936642,920,169,920,169,0,0,0,5.698,0,0,10056,1869,80308,1295,1.516,854,303946,11037,1937,248107,68383,564385,4371666,11065,108140,97075,58739,166879,0,971619,4371666,21477737,20.79,"62,665.10"
GA,2015,Georgia,145.6756383,247,6155856,1242,229,14563,2562,0,0,0,0,13321,2334,315,27804,30579,0,0,0,353883,0,0,269514,2461,623396,2978591,0,195948,195948,28423,224371,0,489182,2978591,10178447,17.1,"34,957.50"
GA,2016,Georgia,144.537737,222,20155611,1770,326,17166,3026,0,0,0,0,15397,2700,315,31137,41707,0,0,0,360633,0,0,282334,10256,642967,2951822,15655,212606,196951,10855,223461,0,506816,2951822,10301890,16.16,"32,343.40"
